user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed,weight_ma_3,weight_ma_5,weight_ma_7,steps_ma_3,steps_ma_5,steps_ma_7,calories_consumed_ma_3,calories_consumed_ma_5,calories_consumed_ma_7,calories_burned_ma_3,calories_burned_ma_5,calories_burned_ma_7,sleep_min_ma_3,sleep_min_ma_5,sleep_min_ma_7,workout_duration_min_tot_ma_3,workout_duration_min_tot_ma_5,workout_duration_min_tot_ma_7,bmi,bmr,tdee,energy_balance,sleep_hours,workout_hours,etl_processed_at,etl_version
,05/09/2025,12285.0,474,98.0,73.0,2789.0,2539.0,72.66666666666667,72.78,72.94285714285715,12716.333333333334,12181.4,13941.285714285714,3312.0,3157.6,2990.285714285714,3298.0,3227.2,3213.285714285714,451.6666666666667,453.8,446.2857142857143,135.33333333333334,138.6,139.71428571428572,21.32943754565376,1726.25,2675.6875,-250.0,7.9,1.6333333333333333,2025-10-30T12:58:29.948171,1.0.0
,06/09/2025,22253.0,436,216.0,72.5,3423.0,2956.0,72.66666666666667,72.64000000000001,72.84285714285714,14858.0,15280.8,14651.57142857143,2930.6666666666665,3165.2,3021.285714285714,2948.6666666666665,3298.2,3222.1428571428573,456.6666666666667,453.0,446.7142857142857,127.66666666666667,157.2,150.28571428571428,21.18334550766983,1721.25,2667.9375,-467.0,7.266666666666667,3.6,2025-10-30T12:58:29.948171,1.0.0
,07/09/2025,20766.0,496,187.0,73.0,3211.0,2923.0,72.83333333333333,72.7,72.77142857142857,18434.666666666668,16233.6,14846.57142857143,2806.0,3163.0,3095.285714285714,3141.0,3305.6,3252.8571428571427,468.6666666666667,457.4,457.2857142857143,167.0,161.8,156.57142857142858,21.32943754565376,1726.25,2675.6875,-288.0,8.266666666666667,3.1166666666666667,2025-10-30T12:58:29.948171,1.0.0
,08/09/2025,10229.0,462,181.0,72.5,4044.0,3646.0,72.66666666666667,72.7,72.67142857142858,17749.333333333332,15113.8,15342.714285714286,3175.0,3072.2,3199.285714285714,3559.3333333333335,3220.2,3392.285714285714,464.6666666666667,465.6,460.42857142857144,194.66666666666666,150.2,164.85714285714286,21.18334550766983,1721.25,2667.9375,-398.0,7.7,3.0166666666666666,2025-10-30T12:58:29.948171,1.0.0
,09/09/2025,13219.0,384,157.0,72.5,3114.0,2902.0,72.66666666666667,72.7,72.64285714285714,14738.0,15750.4,14945.142857142857,3157.0,2993.2,3194.714285714286,3456.3333333333335,3316.2,3383.714285714286,447.3333333333333,450.4,447.57142857142856,175.0,167.8,163.85714285714286,21.18334550766983,1721.25,2667.9375,-212.0,6.4,2.6166666666666667,2025-10-30T12:58:29.948171,1.0.0
,10/09/2025,13239.0,440,154.0,72.5,3102.0,2782.0,72.5,72.6,72.64285714285714,12229.0,15941.2,14575.285714285714,3110.0,3041.8,3006.4285714285716,3420.0,3378.8,3188.1428571428573,428.6666666666667,443.6,450.2857142857143,164.0,179.0,151.71428571428572,21.18334550766983,1721.25,2667.9375,-320.0,7.333333333333333,2.566666666666667,2025-10-30T12:58:29.948171,1.0.0
,11/09/2025,15034.0,464,131.0,72.5,2964.0,2768.0,72.5,72.6,72.64285714285714,13830.666666666666,14497.4,15289.285714285714,2817.3333333333335,3004.2,2930.8571428571427,3060.0,3287.0,3235.285714285714,429.3333333333333,449.2,450.85714285714283,147.33333333333334,162.0,160.57142857142858,21.18334550766983,1721.25,2667.9375,-196.0,7.733333333333333,2.183333333333333,2025-10-30T12:58:29.948171,1.0.0
,12/09/2025,9965.0,436,154.0,72.5,3233.0,2799.0,72.5,72.5,72.57142857142857,12746.0,12337.2,14957.857142857143,2783.0,2979.4,2968.0,3099.6666666666665,3291.4,3298.714285714286,446.6666666666667,437.2,445.42857142857144,146.33333333333334,155.4,168.57142857142858,21.18334550766983,1721.25,2667.9375,-434.0,7.266666666666667,2.566666666666667,2025-10-30T12:58:29.948171,1.0.0
,13/09/2025,20350.0,489,194.0,72.1,3366.0,2751.0,72.36666666666667,72.41999999999999,72.5142857142857,15116.333333333334,14361.4,14686.0,2772.6666666666665,2800.4,2938.714285714286,3187.6666666666665,3155.8,3290.5714285714284,463.0,442.6,453.0,159.66666666666666,158.0,165.42857142857142,21.066471877282684,1717.25,2661.7375,-615.0,8.15,3.2333333333333334,2025-10-30T12:58:29.948171,1.0.0
,14/09/2025,23982.0,451,158.0,72.1,3096.0,2724.0,72.23333333333333,72.34,72.38571428571429,18099.0,16514.0,15145.42857142857,2758.0,2764.8,2910.285714285714,3231.6666666666665,3152.2,3274.1428571428573,458.6666666666667,456.0,446.57142857142856,168.66666666666666,158.2,161.28571428571428,21.066471877282684,1717.25,2661.7375,-372.0,7.516666666666667,2.6333333333333333,2025-10-30T12:58:29.948171,1.0.0
,15/09/2025,11224.0,492,200.0,72.1,3840.0,3755.0,72.1,72.25999999999999,72.32857142857142,18518.666666666668,16111.0,15287.57142857143,3076.6666666666665,2959.4,2925.8571428571427,3434.0,3299.8,3245.0,477.3333333333333,466.4,450.85714285714283,184.0,167.4,164.0,21.066471877282684,1717.25,2661.7375,-85.0,8.2,3.3333333333333335,2025-10-30T12:58:29.948171,1.0.0
,16/09/2025,11053.0,417,162.0,72.1,3033.0,2769.0,72.1,72.17999999999999,72.27142857142857,15419.666666666666,15314.8,14978.142857142857,3082.6666666666665,2959.6,2906.8571428571427,3323.0,3313.6,3233.4285714285716,453.3333333333333,457.0,455.57142857142856,173.33333333333334,173.6,164.71428571428572,21.066471877282684,1717.25,2661.7375,-264.0,6.95,2.7,2025-10-30T12:58:29.948171,1.0.0
,17/09/2025,8244.0,489,150.0,72.5,3030.0,3193.0,72.23333333333333,72.17999999999999,72.27142857142857,10173.666666666666,14970.6,14264.57142857143,3239.0,3038.4,2965.5714285714284,3301.0,3273.0,3223.1428571428573,466.0,467.6,462.57142857142856,170.66666666666666,172.8,164.14285714285714,21.18334550766983,1721.25,2667.9375,163.0,8.15,2.5,2025-10-30T12:58:29.948171,1.0.0
,18/09/2025,21783.0,453,141.0,73.2,3019.0,2639.0,72.6,72.4,72.37142857142857,13693.333333333334,15257.2,15228.714285714286,2867.0,3016.0,2947.1428571428573,3027.3333333333335,3203.6,3231.0,453.0,460.4,461.0,151.0,162.2,165.57142857142858,21.387874360847334,1728.25,2678.7875,-380.0,7.55,2.35,2025-10-30T12:58:29.948171,1.0.0
,19/09/2025,13304.0,487,184.0,73.2,3157.0,2673.0,72.96666666666665,72.61999999999999,72.47142857142856,14443.666666666666,13121.6,15705.714285714286,2835.0,3005.8,2929.1428571428573,3068.6666666666665,3215.8,3220.1428571428573,476.3333333333333,467.6,468.2857142857143,158.33333333333334,167.4,169.85714285714286,21.387874360847334,1728.25,2678.7875,-484.0,8.116666666666667,3.066666666666667,2025-10-30T12:58:29.948171,1.0.0
,20/09/2025,19895.0,486,167.0,72.1,3199.0,3718.0,72.83333333333333,72.62,72.47142857142858,18327.333333333332,14855.8,15640.714285714286,3010.0,2998.4,3067.285714285714,3125.0,3087.6,3196.285714285714,475.3333333333333,466.4,467.85714285714283,164.0,160.8,166.0,21.066471877282684,1717.25,2661.7375,519.0,8.1,2.783333333333333,2025-10-30T12:58:29.948171,1.0.0
,21/09/2025,22466.0,441,110.0,73.0,2987.0,2001.0,72.76666666666667,72.8,72.6,18555.0,17138.4,15424.142857142857,2797.3333333333335,2844.8,2964.0,3114.3333333333335,3078.4,3180.714285714286,471.3333333333333,471.2,466.42857142857144,153.66666666666666,150.4,159.14285714285714,21.32943754565376,1726.25,2675.6875,-986.0,7.35,1.8333333333333333,2025-10-30T12:58:29.948171,1.0.0
,22/09/2025,8056.0,430,108.0,72.3,2729.0,2201.0,72.46666666666667,72.75999999999999,72.62857142857142,16805.666666666668,17100.8,14971.57142857143,2640.0,2646.4,2742.0,2971.6666666666665,3018.2,3022.0,452.3333333333333,459.4,457.57142857142856,128.33333333333334,142.0,146.0,21.124908692476257,1719.25,2664.8375,-528.0,7.166666666666667,1.8,2025-10-30T12:58:29.948171,1.0.0
,23/09/2025,8979.0,506,108.0,71.9,2769.0,2647.0,72.4,72.5,72.6,13167.0,14540.0,14675.285714285714,2283.0,2648.0,2724.5714285714284,2828.3333333333335,2968.2,2984.285714285714,459.0,470.0,470.2857142857143,108.66666666666667,135.4,138.28571428571428,21.008035062089117,1715.25,2658.6375000000003,-122.0,8.433333333333334,1.8,2025-10-30T12:58:29.948171,1.0.0
,24/09/2025,11747.0,452,84.0,71.9,2654.0,2976.0,72.03333333333333,72.24000000000001,72.51428571428572,9594.0,14228.6,15175.714285714286,2608.0,2708.6,2693.5714285714284,2717.3333333333335,2867.6,2930.5714285714284,462.6666666666667,463.0,465.0,100.0,115.4,128.85714285714286,21.008035062089117,1715.25,2658.6375000000003,322.0,7.533333333333333,1.4,2025-10-30T12:58:29.948171,1.0.0
,25/09/2025,,510,,72.5,,,72.10000000000001,72.32000000000001,72.41428571428571,10363.0,12812.0,14074.5,2811.5,2456.25,2702.6666666666665,2711.5,2784.75,2915.8333333333335,489.3333333333333,467.8,473.14285714285717,96.0,102.5,126.83333333333333,21.18334550766983,1721.25,2667.9375,,8.5,,2025-10-30T12:58:29.948171,1.0.0
